id,water_level,co2_ppm,soil_moisture,air_temp,air_humidity,door_status,growth_stage,light_status,time_created
1,Empty,1200,700,27.3,100,OPEN,Vegetation,ON,"2018-07-26 21:43:11.083710"
2,Empty,1200,700,27.3,200,OPEN,Vegetation,ON,"2018-07-26 21:43:11.083710"
3,Empty,1200,700,27.3,100,OPEN,Vegetation,ON,"2018-07-26 21:43:11.083710"
4,Empty,1200,700,27.3,100,OPEN,Vegetation,ON,"2018-07-26 21:43:11.083710"
5,Empty,1200,700,27.3,200,OPEN,Vegetation,ON,"2018-07-26 21:43:11.083710"
6,Empty,1200,700,27.3,200,OPEN,Vegetation,ON,"2018-07-26 21:43:11.083710"
7,Empty,1300,760,27.4,0.0,OPEN,Vegetative,ON,"2018-07-26 23:16:03.344270"
8,Empty,1300,760,27.4,0.0,OPEN,Vegetative,ON,"2018-07-26 23:16:03.344270"
9,Empty,1300,760,27.4,0.0,OPEN,Vegetative,ON,"2018-07-26 23:16:03.344270"
10,EMPTY,1176.00,MOIST,22.70,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
11,EMPTY,1279.00,MOIST,22.70,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
12,EMPTY,1280.00,MOIST,22.70,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
13,EMPTY,1429.00,MOIST,22.70,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
14,EMPTY,1655.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
15,EMPTY,1792.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
16,EMPTY,1430.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
17,EMPTY,1119.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
18,EMPTY,1766.00,MOIST,22.90,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
19,EMPTY,1710.00,MOIST,22.90,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
20,EMPTY,1556.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
21,EMPTY,1302.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
22,EMPTY,1168.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
23,EMPTY,1658.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
24,EMPTY,1833.00,MOIST,22.80,0.00,CLOSED,Vegetative,ON,"2018-07-26 23:16:03.344270"
